1	(
2	)
3	0
4	1
5	2
6	3
7	4
8	5
9	6
10	7
11	8
12	9
13	A
14	B
15	C
16	D
17	E
18	F
19	G
20	H
21	I
22	J
23	K
24	L
25	M
26	N
27	O
28	P
29	Q
30	R
31	S
32	T
33	U
34	V
35	W
36	X
37	Y
38	Z
39	a
40	b
41	c
42	d
43	e
44	f
45	g
46	h
47	i
48	j
49	k
50	l
51	m
52	n
53	o
54	p
55	q
56	r
57	s
58	t
59	u
60	v
61	w
62	x
63	y
64	z
65	가
66	각
67	간
68	갇
69	갈
70	갉
71	감
72	갑
73	값
74	갓
75	갔
76	강
77	갖
78	같
79	갚
80	개
81	객
82	갠
83	갤
84	갭
85	갯
86	갱
87	갸
88	걀
89	거
90	걱
91	건
92	걷
93	걸
94	검
95	겁
96	것
97	겉
98	게
99	겐
100	겔
101	겟
102	겠
103	겨
104	격
105	겪
106	견
107	결
108	겸
109	겹
110	겼
111	경
112	곁
113	계
114	고
115	곡
116	곤
117	곧
118	골
119	곰
120	곱
121	곳
122	공
123	곶
124	과
125	곽
126	관
127	괄
128	괌
129	광
130	괘
131	괜
132	괭
133	괴
134	굉
135	교
136	구
137	국
138	군
139	굳
140	굴
141	굵
142	굶
143	굽
144	굿
145	궁
146	궂
147	궈
148	권
149	궐
150	궤
151	귀
152	귄
153	귈
154	귓
155	규
156	균
157	귤
158	그
159	극
160	근
161	글
162	긁
163	금
164	급
165	긋
166	긍
167	기
168	긱
169	긴
170	길
171	김
172	깁
173	깃
174	깅
175	깊
176	까
177	깍
178	깎
179	깐
180	깔
181	깜
182	깝
183	깡
184	깥
185	깨
186	깬
187	깻
188	깽
189	꺼
190	꺾
191	껄
192	껌
193	껍
194	껏
195	껐
196	껑
197	께
198	껴
199	꼈
200	꼬
201	꼭
202	꼰
203	꼴
204	꼼
205	꼽
206	꽁
207	꽂
208	꽃
209	꽈
210	꽉
211	꽝
212	꽤
213	꾀
214	꾸
215	꾼
216	꿀
217	꿇
218	꿈
219	꿔
220	꿨
221	꿰
222	뀌
223	뀐
224	뀔
225	끄
226	끈
227	끊
228	끌
229	끓
230	끔
231	끗
232	끝
233	끼
234	낀
235	낄
236	낌
237	나
238	낙
239	낚
240	난
241	날
242	낡
243	남
244	납
245	낫
246	났
247	낭
248	낮
249	낯
250	낱
251	낳
252	내
253	낵
254	낸
255	낼
256	냄
257	냅
258	냇
259	냈
260	냉
261	냐
262	냥
263	너
264	넉
265	넌
266	널
267	넓
268	넘
269	넛
270	넝
271	넣
272	네
273	넥
274	넨
275	넬
276	넵
277	넷
278	녀
279	녁
280	년
281	념
282	녔
283	녕
284	녘
285	녜
286	노
287	녹
288	논
289	놀
290	놈
291	놉
292	농
293	높
294	놓
295	놔
296	놨
297	뇌
298	뇨
299	뇰
300	뇽
301	누
302	눅
303	눈
304	눌
305	눔
306	눕
307	눙
308	눠
309	뉘
310	뉴
311	늄
312	늉
313	느
314	늑
315	는
316	늘
317	늙
318	늠
319	능
320	늦
321	늪
322	늬
323	니
324	닉
325	닌
326	닐
327	님
328	닙
329	닛
330	닝
331	다
332	닥
333	닦
334	단
335	닫
336	달
337	닭
338	닮
339	닳
340	담
341	답
342	닷
343	당
344	닻
345	닿
346	대
347	댁
348	댄
349	댈
350	댐
351	댑
352	댓
353	댕
354	더
355	덕
356	던
357	덜
358	덟
359	덤
360	덥
361	덧
362	덩
363	덫
364	덮
365	데
366	덱
367	덴
368	델
369	뎀
370	뎅
371	뎌
372	도
373	독
374	돈
375	돋
376	돌
377	돔
378	돕
379	돗
380	동
381	돛
382	돼
